date,universe,n,adv,dec,up_vol,dn_vol,up4,dn4,up25q,dn25q,up13_34,dn13_34,nh,nl,p_ab20,p_ab40,p_ab50,p_ab200,p_stack,p_s1,p_s2,p_s3,p_s4
2024-08-05,all,3899,333,3494,198,2109,22,562,367,680,581,945,5,233,16.32,30.85,33.17,44.99,43.81,22.3,41.5,3.53,32.66
2024-08-05,nasdaq,2775,288,2416,159,1299,19,386,305,630,442,851,3,200,14.19,28.01,30.1,39.12,38.96,21.46,35.29,3.91,39.35
2024-08-05,r2000,1854,108,1732,76,1136,12,369,186,200,359,270,2,81,14.71,34.94,39.04,51.29,54.7,24.56,48.07,3.25,24.12
2024-08-05,scan,69,5,64,3,49,2,4,19,0,33,0,0,0,91.3,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0
2024-08-05,sp500,499,24,475,22,400,0,29,12,8,30,62,1,13,28.66,40.48,41.68,64.72,51.1,24.85,62.02,2.63,10.51
2024-08-06,all,3900,2587,1175,986,440,134,59,349,697,607,897,18,63,20.08,35.17,36.77,46.93,37.99,20.52,43.08,3.93,32.47
2024-08-06,nasdaq,2776,1758,898,578,306,94,39,296,645,465,805,7,48,17.3,31.47,32.94,40.53,33.78,20.21,36.29,4.36,39.14
2024-08-06,r2000,1854,1245,551,495,232,77,37,172,204,361,274,12,25,18.39,39.88,42.74,53.77,46.0,22.25,50.33,3.47,23.95
2024-08-06,scan,122,104,17,52,6,16,0,26,0,52,0,1,0,86.07,99.18,100.0,100.0,95.9,0.0,100.0,0.0,0.0
2024-08-06,sp500,499,399,98,223,48,17,4,7,8,42,54,5,3,35.67,46.29,47.9,67.14,49.3,22.63,64.24,2.83,10.3
2024-08-07,all,3900,1100,2646,464,932,85,312,307,767,582,946,18,106,17.38,31.89,34.08,44.87,32.37,22.48,41.59,3.37,32.56
2024-08-07,nasdaq,2776,769,1876,280,591,62,249,261,707,460,833,11,85,15.27,28.37,30.83,38.78,28.38,21.78,35.26,3.64,39.32
2024-08-07,r2000,1854,489,1310,232,496,54,201,143,235,334,305,8,48,14.66,34.73,38.28,51.18,37.03,25.06,48.24,2.97,23.73
2024-08-07,scan,86,24,62,18,28,7,1,15,0,37,0,2,0,81.4,100.0,100.0,100.0,96.51,0.0,100.0,0.0,0.0
2024-08-07,sp500,499,147,351,83,170,3,15,7,14,40,66,4,7,31.26,42.69,45.09,64.11,45.49,25.45,61.62,2.42,10.51
2024-08-08,all,3901,2926,851,837,283,283,67,333,755,713,835,26,60,24.89,40.37,41.24,49.17,31.17,18.82,45.06,4.22,31.9
2024-08-08,nasdaq,2777,1997,666,551,210,219,53,283,695,548,748,15,53,21.64,36.02,36.8,42.69,27.32,18.59,38.3,4.54,38.57
2024-08-08,r2000,1854,1493,336,454,147,153,39,162,230,424,255,13,19,23.31,45.37,47.61,56.24,35.16,20.7,52.37,3.91,23.02
2024-08-08,scan,151,146,5,39,2,16,0,26,0,71,0,3,0,77.48,100.0,100.0,100.0,93.38,0.0,100.0,0.0,0.0
2024-08-08,sp500,499,454,43,142,16,36,3,11,13,44,46,8,1,43.49,53.51,53.31,70.77,45.09,18.99,67.88,2.83,10.3
2024-08-09,all,3901,1597,2111,399,513,99,134,330,774,701,893,36,72,25.48,39.54,40.77,47.92,29.87,19.93,44.21,3.82,32.03
2024-08-09,nasdaq,2777,1064,1554,285,375,78,112,277,713,524,792,22,58,22.36,34.82,36.21,40.93,25.57,20.17,37.1,3.98,38.75
2024-08-09,r2000,1854,693,1091,216,293,58,82,162,253,423,286,17,33,22.34,43.58,45.6,54.7,33.42,22.41,51.27,3.47,22.85
2024-08-09,scan,159,100,54,24,9,9,1,32,2,69,0,4,0,71.7,98.74,100.0,100.0,86.16,0.0,100.0,0.0,0.0
2024-08-09,sp500,499,300,197,45,29,6,2,10,9,50,45,12,1,45.69,55.11,57.52,70.56,44.69,18.99,67.47,3.03,10.51
2024-08-12,all,3901,1296,2444,394,589,84,121,324,771,609,923,28,96,23.14,36.2,38.01,46.74,28.46,21.27,42.96,3.85,31.93
2024-08-12,nasdaq,2777,970,1671,287,405,68,101,275,712,468,817,22,77,20.73,31.61,33.75,40.04,24.23,21.2,35.98,4.17,38.65
2024-08-12,r2000,1854,523,1274,196,327,41,74,150,243,354,312,14,44,19.25,38.86,41.09,52.72,31.14,24.27,49.37,3.36,23.0
2024-08-12,scan,134,53,79,14,17,2,0,33,1,59,0,1,0,77.61,99.25,100.0,100.0,91.04,0.0,100.0,0.0,0.0
2024-08-12,sp500,499,165,332,38,55,4,3,9,10,37,44,3,5,40.68,51.3,53.71,68.15,43.69,21.41,65.86,2.22,10.51
