date,universe,n,adv,dec,up_vol,dn_vol,up4,dn4,up25q,dn25q,up13_34,dn13_34,nh,nl,p_ab20,p_ab40,p_ab50,p_ab200,p_stack,p_s1,p_s2,p_s3,p_s4
2024-08-09,all,3901,1288,2561,2884,4277,623,1134,330,774,701,893,103,534,25.48,39.54,40.77,47.92,29.87,19.93,44.21,3.82,32.03
2024-08-09,nasdaq,2777,898,1832,1853,2781,472,839,277,713,524,792,58,444,22.36,34.82,36.21,40.93,25.57,20.17,37.1,3.98,38.75
2024-08-09,r2000,1854,538,1300,1473,2304,354,728,162,253,423,286,52,206,22.34,43.58,45.6,54.7,33.42,22.41,51.27,3.47,22.85
2024-08-09,scan,159,105,54,136,94,50,6,32,2,69,0,10,0,71.7,98.74,100.0,100.0,86.16,0.0,100.0,0.0,0.0
2024-08-09,sp500,499,233,266,515,663,62,53,10,9,50,45,30,25,45.69,55.11,57.52,70.56,44.69,18.99,67.47,3.03,10.51
2024-08-16,all,3906,2836,1015,2960,1940,893,330,366,715,799,778,246,248,45.42,50.21,51.24,52.21,34.49,16.28,47.88,4.4,31.44
2024-08-16,nasdaq,2782,1909,824,2068,1439,714,275,311,666,583,706,148,219,40.43,44.82,45.72,45.1,29.71,16.77,40.36,4.88,38.0
2024-08-16,r2000,1855,1461,380,1529,907,493,181,180,214,450,245,129,82,43.41,55.88,57.52,59.34,37.15,17.89,55.37,3.96,22.78
2024-08-16,scan,202,189,12,126,48,47,2,37,0,97,0,22,0,82.18,100.0,100.0,100.0,87.62,0.0,100.0,0.0,0.0
2024-08-16,sp500,499,430,69,356,172,72,7,15,6,76,24,59,6,76.15,68.74,69.14,76.21,53.11,14.55,72.53,3.64,9.29
2024-08-23,all,3907,2963,877,2630,1454,1089,276,447,630,1176,651,472,101,72.61,61.23,61.47,56.58,46.51,12.6,51.3,5.32,30.78
2024-08-23,nasdaq,2783,1985,735,1995,1141,839,227,371,596,816,604,246,90,67.53,54.83,55.22,48.97,40.68,13.63,43.2,5.84,37.33
2024-08-23,r2000,1855,1547,294,1262,593,694,134,254,163,683,185,216,31,78.25,68.11,69.16,64.96,52.2,13.04,59.63,5.34,22.0
2024-08-23,scan,186,170,15,101,43,86,7,41,0,103,0,27,0,97.31,98.92,100.0,100.0,94.62,0.0,100.0,0.0,0.0
2024-08-23,sp500,499,424,75,220,110,39,16,16,6,136,18,160,1,91.18,80.56,79.56,80.24,65.13,10.69,76.41,3.83,9.07
2024-08-30,all,3912,1913,1927,2197,1668,409,371,584,583,653,926,480,141,73.0,58.97,60.48,56.28,51.16,12.97,51.55,4.82,30.67
2024-08-30,nasdaq,2788,1212,1513,1468,1267,346,320,443,547,466,837,181,128,66.5,52.08,53.47,48.45,44.57,14.34,42.98,5.58,37.1
2024-08-30,r2000,1855,960,874,1001,753,205,186,354,146,342,308,201,30,81.77,65.84,68.89,64.31,59.51,13.14,59.92,4.4,22.54
2024-08-30,scan,199,100,98,62,53,13,15,63,0,35,1,11,0,99.5,98.49,100.0,100.0,97.99,0.0,100.0,0.0,0.0
2024-08-30,sp500,499,362,137,352,130,18,15,39,9,89,26,202,4,91.78,82.57,81.56,81.85,70.14,10.28,78.02,3.83,7.86
2024-09-06,all,3917,661,3191,1385,2725,249,921,414,698,434,1137,197,343,33.5,36.58,42.12,48.11,43.25,19.61,45.28,2.88,32.22
2024-09-06,nasdaq,2793,484,2251,929,1760,208,697,330,650,333,965,62,270,31.47,32.42,37.51,41.16,37.25,20.04,37.79,3.44,38.73
2024-09-06,r2000,1855,241,1594,600,1248,120,524,230,206,204,454,72,126,32.9,37.21,45.83,55.6,49.19,19.96,53.0,2.64,24.41
2024-09-06,scan,68,21,45,60,54,15,21,25,0,33,0,2,0,88.24,100.0,100.0,100.0,98.53,0.0,100.0,0.0,0.0
2024-09-06,sp500,499,86,413,238,537,8,91,18,10,51,42,93,21,43.49,55.51,57.72,70.56,63.13,20.97,68.15,2.42,8.47
2024-09-13,all,3922,2923,942,3500,2262,940,287,606,584,447,1051,465,248,56.59,55.14,54.07,53.19,39.82,14.88,48.81,4.44,31.87
2024-09-13,nasdaq,2798,2001,744,2298,1508,753,213,462,545,345,890,191,182,53.07,50.29,48.97,46.01,34.9,15.7,40.97,5.12,38.21
2024-09-13,r2000,1855,1535,311,1729,1054,541,160,377,153,203,434,244,111,63.45,60.1,60.53,61.38,42.66,14.45,56.98,4.45,24.12
2024-09-13,scan,159,149,9,141,25,68,1,52,0,43,0,23,0,79.87,99.37,100.0,100.0,83.65,0.0,100.0,0.0,0.0
2024-09-13,sp500,499,409,90,577,337,50,13,36,10,55,25,152,10,66.13,76.15,73.35,77.02,60.92,14.11,74.8,2.22,8.87
2024-09-20,all,3926,2278,1586,4334,4066,691,448,684,515,876,621,562,154,62.09,61.8,57.76,55.09,47.75,12.73,49.6,5.55,32.12
2024-09-20,nasdaq,2802,1519,1229,2915,2746,535,371,536,484,646,566,258,148,58.2,56.28,51.48,47.39,41.68,13.97,41.2,6.28,38.55
2024-09-20,r2000,1858,1179,660,2282,2192,358,240,417,127,407,187,303,19,68.79,69.4,64.25,63.52,53.65,11.86,57.83,5.71,24.6
2024-09-20,scan,169,139,30,228,165,48,8,61,0,91,0,33,0,94.67,100.0,100.0,100.0,97.63,0.0,100.0,0.0,0.0
2024-09-20,sp500,499,331,167,644,561,51,13,37,10,117,7,160,2,71.54,80.36,79.76,78.83,69.94,11.69,77.02,1.81,9.48
2024-09-27,all,3934,1950,1917,3162,2731,687,335,705,462,1051,435,374,165,63.63,65.35,60.36,56.22,50.59,11.01,49.43,6.84,32.72
2024-09-27,nasdaq,2806,1349,1402,2143,1920,563,253,526,432,790,406,190,153,60.63,60.22,54.66,48.62,44.62,12.32,40.85,7.84,38.98
