Ticker,Name,Exchange,Sector,Industry,MarketCap,SP500,NASDAQ,R2000,Price,Chg%,ATR%,Gain50%,ATRx50,AVOL,AVOL$,RVOL,EMA10,EMA20,SMA50,SMA200,Stage,RS,Perf1M%,Perf3M%,Perf6M%,FromHigh%
A,Agilent Technologies Inc.,NYSE,Industrials,Biotechnology: Laboratory Analytical Instruments,41175709127.0,True,False,False,156.34,0.0,2.537,7.503,2.958,2131338.0,355341449.6,0.0,151.706,150.534,145.428,131.225,2.0,77.0,0.598,23.281,40.49,-4.525
AAL,American Airlines Group Inc.,NASDAQ,Consumer Discretionary,Air Freight/Delivery Services,8691400669.0,False,True,False,12.94,0.0,3.352,-10.227,-3.051,80227718.56,872518294.4,0.0,12.985,13.307,14.414,13.917,1.0,50.0,-6.638,-19.074,19.815,-31.134
AAME,Atlantic American Corporation,NASDAQ,Finance,Life Insurance,26210438.0,False,True,False,1.4,0.0,5.534,-4.004,-0.724,75504.0,231022.5,0.0,1.348,1.363,1.458,2.195,4.0,13.0,1.449,-25.134,-46.36,-59.538
AAOI,Applied Optoelectronics Inc.,NASDAQ,Technology,Semiconductors,8351382586.0,False,True,False,98.06,0.0,8.84,-12.841,-1.453,9722296.0,701141126.4,0.0,100.929,105.849,112.506,105.041,1.0,96.0,-19.748,-39.413,-3.787,-58.035
AAON,AAON Inc.,NASDAQ,Industrials,Industrial Machinery/Components,6177838902.0,False,True,False,76.43,0.0,4.856,-13.727,-2.827,1147316.0,80462487.0,0.0,76.671,78.606,88.591,97.66,4.0,35.0,-5.509,-44.026,-4.333,-49.102
AAP,Advance Auto Parts Inc.,NYSE,Consumer Discretionary,Auto & Home Supply Stores,2733583200.0,False,False,True,41.98,0.0,4.69,-16.956,-3.616,1945522.0,75236686.8,0.0,43.092,44.68,50.552,51.655,4.0,22.0,-25.276,-29.831,-12.373,-35.032
AAPL,Apple Inc.,NASDAQ,Technology,Computer Manufacturing,4884015307900.0,True,True,False,337.0,0.0,2.041,5.298,2.596,47353416.16,12614007500.8,0.0,330.075,325.085,320.043,285.948,2.0,77.0,6.366,13.181,35.605,-2.113
AARD,Aardvark Therapeutics Inc.,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,121460895.0,False,True,False,5.53,0.0,11.748,-11.986,-1.02,239858.0,774805.4,0.0,5.431,5.681,6.283,7.767,4.0,62.0,-18.074,40.712,12.857,-69.175
AAT,American Assets Trust Inc.,NYSE,Real Estate,Real Estate Investment Trusts,1327252064.0,False,False,True,22.13,0.0,1.613,-3.329,-2.064,421386.0,10474460.6,0.0,21.891,22.039,22.892,20.475,2.0,53.0,-1.443,-6.565,20.654,-13.473
ABAT,American Battery Technology Company,NASDAQ,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),321255933.0,False,True,True,2.24,0.0,6.595,-8.343,-1.265,3211124.0,8395184.05,0.0,2.377,2.453,2.444,3.272,4.0,38.0,-6.667,-28.205,-26.073,-80.505
ABBV,AbbVie Inc.,NYSE,Health Care,Biotechnology: Pharmaceutical Preparations,462542949349.0,True,False,False,264.02,0.0,1.969,3.437,1.746,4903488.0,1016378816.0,0.0,260.635,258.938,255.247,227.307,2.0,75.0,-0.733,22.823,30.003,-1.29
ABCL,AbCellera Biologics Inc. Common Shares,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,3588873261.0,False,True,False,12.73,0.0,5.544,39.789,7.177,6966144.0,52353451.8,0.0,11.757,11.282,9.107,5.493,2.0,97.0,5.995,130.199,260.623,-3.414
ABEO,Abeona Therapeutics Inc.,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,307935932.0,False,True,True,5.59,0.0,4.609,-11.132,-2.415,1458092.0,7128098.925,0.0,5.61,5.786,6.29,5.536,2.0,46.0,-8.809,-3.12,23.128,-26.928
ABG,Asbury Automotive Group Inc,NYSE,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,3781391797.0,False,False,True,187.91,0.0,3.428,-12.493,-3.644,237554.0,36858507.3,0.0,200.919,205.968,214.736,213.642,4.0,31.0,-11.754,-4.638,-0.561,-27.378
ABM,ABM Industries Incorporated,NYSE,Consumer Discretionary,Diversified Commercial Services,2889113240.0,False,False,True,49.3,0.0,2.586,2.98,1.152,433326.0,23182032.25,0.0,49.196,48.646,47.874,43.475,2.0,65.0,4.405,12.397,33.327,-3.88
ABNB,Airbnb Inc.,NASDAQ,Consumer Discretionary,Diversified Commercial Services,102063019497.0,True,True,False,165.93,0.0,2.795,-0.642,-0.23,4503268.0,732405849.6,0.0,170.579,173.261,167.002,141.805,2.0,76.0,-10.977,16.516,26.867,-14.227
ABOS,Acumen Pharmaceuticals Inc.,NASDAQ,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),212612818.0,False,True,True,2.57,0.0,7.206,-1.672,-0.232,366150.0,984256.4,0.0,2.771,2.812,2.614,2.491,2.0,90.0,-18.413,13.717,-11.986,-28.611
ABR,Arbor Realty Trust,NYSE,Real Estate,Real Estate Investment Trusts,884490338.0,False,False,True,4.48,0.0,3.294,-9.462,-2.873,3804782.0,17214145.1,0.0,4.681,4.82,4.948,6.274,4.0,16.0,-13.346,-10.969,-39.122,-59.38
ABSI,Absci Corporation,NASDAQ,Health Care,Biotechnology: Commercial Physical & Biological Resarch,1401228392.0,False,True,True,9.27,0.0,6.4,6.08,0.95,3058780.0,25585913.8,0.0,8.674,8.728,8.739,5.524,2.0,96.0,-7.207,25.101,200.974,-23.102
ABT,Abbott Laboratories,NYSE,Health Care,Biotechnology: Pharmaceutical Preparations,177866098996.0,True,False,False,102.23,0.0,2.344,-3.53,-1.506,9461652.0,802054744.0,0.0,103.977,105.883,105.971,104.218,4.0,43.0,-10.662,16.456,-3.344,-23.927
ABTC,American Bitcoin Corp.,NASDAQ,Finance,Finance: Consumer Services,623700842.0,False,True,True,8.83,0.0,8.439,24.242,2.873,1622918.0,15086353.175,0.0,8.415,8.194,7.107,15.61,4.0,6.0,11.772,-30.745,-42.288,-92.651
ABTS,Abits Group Inc,NASDAQ,Finance,Finance: Consumer Services,4505688.0,False,True,False,1.425,0.0,8.102,9.545,1.178,172916.0,164226.699,0.0,1.419,1.398,1.301,2.426,4.0,26.0,10.465,29.545,-44.767,-86.872
ABUS,Arbutus Biopharma Corporation,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,1013970154.0,False,True,False,5.07,0.0,2.252,5.876,2.61,3072394.0,27152933.0,0.0,5.088,5.046,4.789,4.526,2.0,64.0,1.807,11.429,16.018,-6.972
ABVC,ABVC BioPharma Inc.,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,26417141.0,False,True,False,1.15,0.0,8.001,11.983,1.498,121192.0,116761.445,0.0,1.046,1.003,1.027,1.439,4.0,14.0,22.863,-14.815,-10.853,-66.176
ABVX,Abivax SA American Depositary Shares,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,9841896769.0,False,True,False,106.99,0.0,4.281,-12.268,-2.866,992862.0,119388193.8,0.0,110.449,113.444,121.951,118.99,1.0,74.0,-11.256,7.907,-13.034,-28.113
ABX,Abacus Global Management Inc.,NYSE,Finance,Investment Managers,923158831.0,False,False,True,9.07,0.0,3.909,-7.913,-2.024,530972.0,3539577.762,0.0,9.335,9.456,9.849,9.134,1.0,69.0,-0.874,-1.946,0.554,-27.09
ACAD,ACADIA Pharmaceuticals Inc.,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,4772862849.0,False,True,True,27.45,0.0,2.818,-0.579,-0.206,1542726.0,35837448.5,0.0,27.674,27.966,27.61,24.621,2.0,75.0,-9.136,26.966,32.481,-11.337
ACB,Aurora Cannabis Inc. Common Shares,NASDAQ,Health Care, Medicinal Chemicals and Botanical Products ,237914588.0,False,True,False,3.85,0.0,3.369,14.281,4.239,1392728.0,3824796.425,0.0,3.844,3.8,3.369,3.61,3.0,60.0,-1.535,31.399,13.905,-42.236
ACCL,Acco Group Holdings Limited Class A,NASDAQ,Consumer Discretionary,Professional Services,39893000.0,False,True,False,2.95,0.0,6.764,14.108,2.086,115758.0,668646.575,0.0,2.879,2.834,2.585,2.057,3.0,,2.253,77.711,110.714,-41.0
ACCO,Acco Brands Corporation,NYSE,Consumer Discretionary,Publishing,391845626.0,False,False,True,4.35,0.0,2.543,4.037,1.587,681616.0,2711098.256,0.0,4.291,4.271,4.181,3.718,2.0,70.0,2.989,13.552,53.362,-2.883
ACDC,ProFrac Holding Corp.,NASDAQ,Energy,Oilfield Services/Equipment,895133375.0,False,True,True,5.06,0.0,6.794,5.189,0.764,1609006.0,6381090.025,0.0,5.039,5.018,4.81,5.499,1.0,68.0,7.66,-16.639,-22.983,-38.443
ACEL,Accel Entertainment Inc. ,NYSE,Consumer Discretionary,Services-Misc. Amusement & Recreation,938596571.0,False,False,True,11.45,0.0,1.916,-4.693,-2.449,281724.0,3167280.775,0.0,11.568,11.694,12.014,11.733,1.0,42.0,-4.504,-11.651,3.433,-18.214
ACET,Adicet Bio Inc.,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,89215000.0,False,True,False,9.01,0.0,6.287,2.346,0.373,105782.0,1152986.847,0.0,9.163,9.134,8.803,8.053,3.0,41.0,-5.058,11.235,27.44,-48.337
ACGL,Arch Capital Group Ltd.,NASDAQ,Finance,Property-Casualty Insurers,33088988348.0,True,True,False,96.7,0.0,1.787,-2.735,-1.531,2333122.0,307535729.6,0.0,97.102,97.684,99.419,96.275,2.0,58.0,-1.857,6.054,4.915,-9.702
ACHC,Acadia Healthcare Company Inc.,NASDAQ,Health Care,Medical Specialities,2641254802.0,False,True,True,28.81,0.0,4.539,-4.68,-1.031,2138042.0,36423492.6,0.0,28.356,28.588,30.224,23.501,2.0,82.0,5.3,15.842,25.479,-19.593
ACHR,Archer Aviation Inc.,NYSE,Industrials,Aerospace,4315590730.0,False,False,True,5.4,0.0,5.497,-1.89,-0.344,33198933.92,129288678.4,0.0,5.496,5.606,5.504,6.357,4.0,23.0,-16.279,-3.052,-10.15,-63.064
ACHV,Achieve Life Sciences Inc. Common Shares,NASDAQ,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,727520604.0,False,True,True,7.91,0.0,4.837,10.946,2.263,1423452.0,11403242.8,0.0,7.672,7.655,7.13,5.286,2.0,95.0,-7.268,63.093,93.399,-8.449
ACIC,American Coastal Insurance Corporation,NASDAQ,Finance,Property-Casualty Insurers,440100719.0,False,True,True,9.17,0.0,2.405,-7.493,-3.116,258726.0,2090819.35,0.0,9.268,9.401,9.913,10.904,4.0,32.0,-2.963,-12.667,-17.089,-25.447
ACIU,AC Immune SA,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,272244308.0,False,True,False,2.68,0.0,4.403,6.189,1.406,196408.0,469315.348,0.0,2.703,2.692,2.524,2.824,4.0,65.0,3.876,11.667,-9.153,-33.0
ACIW,ACI Worldwide Inc.,NASDAQ,Technology,Computer Software: Prepackaged Software,5306712243.0,False,True,True,51.18,0.0,2.655,-5.725,-2.156,952784.0,36266644.3,0.0,51.796,52.279,54.288,46.502,2.0,61.0,-1.52,16.081,28.982,-16.208
ACLS,Axcelis Technologies Inc.,NASDAQ,Technology,Industrial Machinery/Components,3280077354.0,False,True,True,104.6,0.0,5.503,-17.515,-3.183,371324.0,35855902.6,0.0,108.729,114.102,126.81,118.018,1.0,61.0,-17.266,-44.222,20.064,-46.021
ACMR,ACM Research Inc.,NASDAQ,Technology,Industrial Machinery/Components,4738583050.0,False,True,True,67.77,0.0,6.933,-14.345,-2.069,940242.0,55268675.4,0.0,69.151,72.059,79.12,64.948,2.0,88.0,-12.656,-38.318,45.429,-46.718
ACN,Accenture plc Class A Ordinary Shares (Ireland),NYSE,Consumer Discretionary,Business Services,129603782374.0,True,False,False,190.29,0.0,3.251,11.17,3.436,6034634.0,800235264.0,0.0,188.199,185.212,171.171,197.439,4.0,77.0,3.887,50.475,-4.588,-33.281
ACNB,ACNB Corporation,NASDAQ,Finance,Major Banks,662469240.0,False,True,True,64.06,0.0,2.195,0.976,0.445,71218.0,4992602.1,0.0,64.624,64.494,63.441,53.683,2.0,79.0,1.972,12.682,42.521,-5.237
ACOG,Alpha Cognition Inc.,NASDAQ,Unknown,Unknown,189434705.0,False,True,False,8.85,0.0,6.494,0.377,0.058,132896.0,1304271.253,0.0,8.901,8.982,8.817,6.739,2.0,75.0,-0.45,28.075,51.541,-12.722
ACON,Aclarion Inc.,NASDAQ,Health Care,Medical Specialities,7321222.0,False,True,False,2.64,0.0,5.555,6.858,1.234,52762.0,116871.401,0.0,2.556,2.519,2.471,3.389,4.0,13.0,-4.693,-15.385,-19.018,-78.055
ACRE,Ares Commercial Real Estate Corporation,NYSE,Real Estate,Real Estate Investment Trusts,240233219.0,False,False,True,4.36,0.0,2.406,-4.256,-1.769,392678.0,1279523.909,0.0,4.397,4.465,4.554,4.679,1.0,47.0,-7.234,-2.403,-3.667,-21.004
ACRS,Aclaris Therapeutics Inc.,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,832409740.0,False,True,True,5.4,0.0,6.006,-6.561,-1.092,2126564.0,13928515.05,0.0,5.572,5.722,5.779,4.344,2.0,94.0,-16.149,20.0,44.385,-18.182
ACRV,Acrivon Therapeutics Inc.,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,84421123.0,False,True,False,1.7,0.0,6.9,-9.324,-1.351,378192.0,512796.303,0.0,1.866,1.927,1.875,1.835,4.0,69.0,-28.87,8.28,0.0,-52.247
ACT,Enact Holdings Inc.,NASDAQ,Finance,Specialty Insurers,6844624561.0,False,True,False,48.48,0.0,1.838,0.769,0.418,381864.0,19205005.75,0.0,49.053,49.014,48.11,42.912,2.0,74.0,-2.001,14.921,20.549,-3.649
ACTG,Acacia Research Corporation (Acacia Tech),NASDAQ,Miscellaneous,Multi-Sector Companies,440604425.0,False,True,True,4.53,0.0,2.189,-0.527,-0.241,230438.0,692974.559,0.0,4.538,4.543,4.554,4.444,2.0,66.0,-0.44,-6.79,-7.927,-14.042
ACVA,ACV Auctions Inc.,NYSE,Consumer Discretionary,Business Services,1770248192.0,False,False,True,10.48,0.0,4.264,34.002,7.975,7411863.92,115204862.15,0.0,9.451,8.678,7.821,6.769,2.0,89.0,40.295,61.728,121.564,-0.664
ACXP,Acurx Pharmaceuticals Inc.,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,7727573.0,False,True,False,1.39,0.0,4.482,-4.925,-1.099,130966.0,109120.575,0.0,1.395,1.413,1.462,2.289,4.0,32.0,-3.472,-9.74,-79.035,-83.333
AD,Array Digital Infrastructure Inc. Common Shares,NYSE,Telecommunications,Telecommunications Equipment,3282675000.0,False,False,True,36.85,0.0,2.374,2.766,1.165,187352.0,8981695.775,0.0,37.533,37.214,35.858,37.203,1.0,52.0,4.421,-5.172,-0.293,-19.964
ADAG,Adagene Inc. American Depositary Shares,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,221603098.0,False,True,False,3.37,0.0,7.96,-8.419,-1.058,235950.0,630662.05,0.0,3.353,3.482,3.68,3.289,2.0,82.0,-18.204,-14.467,-8.672,-30.515
ADAM,Adamas Trust Inc.,NASDAQ,Real Estate,Real Estate Investment Trusts,813861462.0,False,True,True,9.01,0.0,2.153,-4.354,-2.023,836150.0,7262523.45,0.0,9.186,9.366,9.42,8.213,2.0,70.0,-11.493,1.759,21.461,-13.031
