Ticker,Name,Exchange,Sector,Industry,Country,MarketCap,SP500,NASDAQ,R2000,R2000_Source,Updated
A,Agilent Technologies Inc.,NYSE,Industrials,Biotechnology: Laboratory Analytical Instruments,United States,45655558617.0,True,False,False,Proxy (Market-Cap-Rang 1001-3000),2026-09-22
AACG,ATA Creativity Global American Depositary Shares,NASDAQ,Real Estate,Other Consumer Services,China,55455856.0,False,True,False,Proxy (Market-Cap-Rang 1001-3000),2026-09-22
AACO,Abony Acquisition Corp. I Class A Ordinary Share,NASDAQ,Unknown,Unknown,United States,0.0,False,True,False,Proxy (Market-Cap-Rang 1001-3000),2026-09-22
AAL,American Airlines Group Inc.,NASDAQ,Consumer Discretionary,Air Freight/Delivery Services,United States,8982932235.0,False,True,False,Proxy (Market-Cap-Rang 1001-3000),2026-09-22
AAME,Atlantic American Corporation,NASDAQ,Finance,Life Insurance,United States,27536258.0,False,True,False,Proxy (Market-Cap-Rang 1001-3000),2026-09-22
AAOI,Applied Optoelectronics Inc.,NASDAQ,Technology,Semiconductors,United States,9226766426.0,False,True,False,Proxy (Market-Cap-Rang 1001-3000),2026-09-22
AAON,AAON Inc.,NASDAQ,Industrials,Industrial Machinery/Components,United States,6299458020.0,False,True,False,Proxy (Market-Cap-Rang 1001-3000),2026-09-22
AAP,Advance Auto Parts Inc.,NYSE,Consumer Discretionary,Auto & Home Supply Stores,United States,2477004000.0,False,False,True,Proxy (Market-Cap-Rang 1001-3000),2026-09-22
AAPG,Ascentage Pharma Group International American Depository Shares,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,China,1480222491.0,False,True,False,Proxy (Market-Cap-Rang 1001-3000),2026-09-22
AAPL,Apple Inc.,NASDAQ,Technology,Computer Manufacturing,United States,4947135136400.0,True,True,False,Proxy (Market-Cap-Rang 1001-3000),2026-09-22
AARD,Aardvark Therapeutics Inc.,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,United States,121898592.0,False,True,False,Proxy (Market-Cap-Rang 1001-3000),2026-09-22
AAT,American Assets Trust Inc.,NYSE,Real Estate,Real Estate Investment Trusts,United States,1349664602.0,False,False,True,Proxy (Market-Cap-Rang 1001-3000),2026-09-22
ABAT,American Battery Technology Company,NASDAQ,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),United States,332206176.0,False,True,True,Proxy (Market-Cap-Rang 1001-3000),2026-09-22
ABBV,AbbVie Inc.,NYSE,Health Care,Biotechnology: Pharmaceutical Preparations,United States,467367179537.0,True,False,False,Proxy (Market-Cap-Rang 1001-3000),2026-09-22
ABCL,AbCellera Biologics Inc. Common Shares,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,Canada,4100643997.0,False,True,False,Proxy (Market-Cap-Rang 1001-3000),2026-09-22
