Ticker,Theme,Name
SPY,Broad Market,SPDR S&P 500 ETF Trust
QQQ,Broad Market,Invesco QQQ Trust
IWM,Broad Market,iShares Russell 2000 ETF
DIA,Broad Market,SPDR Dow Jones Industrial Average ETF
SMH,Halbleiter,VanEck Semiconductor ETF
SOXX,Halbleiter,iShares Semiconductor ETF
XSD,Halbleiter,SPDR S&P Semiconductor ETF
IGV,Software/Cloud,iShares Expanded Tech-Software ETF
SKYY,Software/Cloud,First Trust Cloud Computing ETF
CIBR,CyberSec/AI,First Trust NASDAQ Cybersecurity ETF
AIQ,CyberSec/AI,Global X Artificial Intelligence & Technology ETF
PNQI,Internet/Social,Invesco NASDAQ Internet ETF
SOCL,Internet/Social,Global X Social Media ETF
IBOT,Robotik/Connect,VanEck Robotics ETF
NXTG,Robotik/Connect,First Trust IndXX NextG ETF
KNCT,Robotik/Connect,Invesco Next Gen Connectivity ETF
GENZ,Consumer-Trends,VanEck Digital Native Economy ETF
CARZ,Auto/Mobility,First Trust Future Vehicles & Technology ETF
NUKZ,Nuklear/Uran,Range Nuclear Renaissance ETF
URA,Nuklear/Uran,Global X Uranium ETF
XBI,Biotech/Health,SPDR S&P Biotech ETF
IBB,Biotech/Health,iShares Biotechnology ETF
XHS,Biotech/Health,SPDR S&P Health Care Services ETF
KRE,Financials,SPDR S&P Regional Banking ETF
XLF,Financials,Financial Select Sector SPDR ETF
KIE,Financials,SPDR S&P Insurance ETF
KBWP,Financials,Invesco KBW Property & Casualty Insurance ETF
PSP,Financials,Invesco Global Listed Private Equity ETF
XLE,Energie,Energy Select Sector SPDR ETF
XOP,Energie,SPDR S&P Oil & Gas Exploration & Production ETF
PXJ,Energie,Invesco Oil & Gas Services ETF
XLB,Materials/Mining,Materials Select Sector SPDR ETF
XME,Materials/Mining,SPDR S&P Metals & Mining ETF
XLI,Industrie/Transport,Industrial Select Sector SPDR ETF
IYT,Industrie/Transport,iShares U.S. Transportation ETF
SEA,Industrie/Transport,U.S. Global Sea to Sky Cargo ETF
PPA,Industrie/Transport,Invesco Aerospace & Defense ETF
XHB,Consumer,SPDR S&P Homebuilders ETF
XRT,Consumer,SPDR S&P Retail ETF
PEJ,Consumer,Invesco Leisure and Entertainment ETF
RWX,Real Estate,SPDR Dow Jones International Real Estate ETF
GLD,Metalle,SPDR Gold Shares
SLV,Metalle,iShares Silver Trust
TLT,Bonds/Rates,iShares 20+ Year Treasury Bond ETF
TBT,Bonds/Rates,ProShares UltraShort 20+ Year Treasury
SHM,Bonds/Rates,SPDR Nuveen Bloomberg Short Term Municipal Bond ETF
DX-Y.NYB,USD-Index,US Dollar Index
CPER,Metalle,US Copper Index Fund
COPX,Metalle,Global X Copper Miners ETF
